No.,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,"INGRESOS OPERACIONALES
2018*",GANANCIA (PERDIDA) 2018,TOTAL ACTIVOS 2018,TOTAL PASIVOS 2018,TOTAL PATRIMONIO 2018,"INGRESOS OPERACIONALES
2017*",GANANCIA (PERDIDA) 2017,TOTAL ACTIVOS 2017,TOTAL PASIVOS 2017,TOTAL PATRIMONIO 2017,GRUPO EN NIIF
1,899999068,ECOPETROL S.A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,62579849000,11556405000,113761823000,56548216000,57213607000,49687082000,6620412000,107549026000,59650395000,47898631000,NIIF PLENAS-GRUPO 1
2,830095213,ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,14879440281,133741350,5488095686,3525498461,1962597225,12493256560,195281207,3863475148,2186212118,1677263030,NIIF PLENAS-GRUPO 1
3,900112515,REFINERIA DE CARTAGENA S.A.S.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,C1921 - Fabricación de productos de la refinación del petróleo,MANUFACTURA,12919431000,-802449716,27881794581,9121543502,18760251079,9150339475,48094664,26779627629,8612363110,18167264519,NIIF PLENAS-GRUPO 1
4,890900608,ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,11444486000,279403000,15663349000,8013609000,7649740000,11250922000,217713000,15962702000,8123134000,7839568000,NIIF PLENAS-GRUPO 1
5,890904996,EMPRESAS PÚBLICAS DE MEDELLÍN ESP,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,D3513- Dsitribución de energía electrica,SERVICIOS,8966811000,2344822000,45595544000,22990219000,22605325000,7927149000,2188189000,39580960000,18082979000,21497981000,NIIF PLENAS-GRUPO 1
6,890100577,AEROVIAS DEL CONTINENTE AMERICANO S.A. - AVIANCA S.A.,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,H5111 - Transporte aereo nacional de pasajeros,SERVICIOS,8747168806,268776958,17041050558,15112916822,1928133736,7702201203,49053417,14325211160,12682959730,1642251430,NIIF PLENAS-GRUPO 1
7,800153993,COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,J6120 - Actividades de telecomunicaciones inalámbricas,SERVICIOS,8665791456,1042348556,14995953079,8965121564,6030831515,8438045879,-1070240411,12849498120,8044303638,4805194482,NIIF PLENAS-GRUPO 1
8,900156264,NUEVA EPS S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,7014036645.61,79606005.49,3520168342.59,3258089409.69,262078932.9,5948906066.85,-93419634.6,2810740723.68,2650298149.28,160442574.41,NIIF PYMES-GRUPO 2
9,900531210,Cenit Transporte y Logística de Hidrocarburos S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,H4930 - Transporte por tuberías,SERVICIOS,6715702915,3575752687,16664862257,1776964635,14887897622,5780339354,2986273830,15514533239,1441865091,14072668148,NIIF PLENAS-GRUPO 1
10,890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,6158207111,82594694,3992450101,2646443658,1346006443,5817994063,122963097,3809263758,2416481673,1392782085,NIIF PLENAS-GRUPO 1
